timestamps,TP9,AF7,AF8,TP10,Right AUX
1595685541.069,-24.414,-34.668,-53.223,-35.156,0.000
1595685541.073,-15.625,-35.645,-55.664,-34.180,0.000
1595685541.077,-22.461,-35.645,-50.781,-47.852,0.000
1595685541.081,-30.762,-38.574,-47.363,-56.641,0.000
1595685541.085,-23.438,-38.574,-47.363,-41.992,0.000
1595685541.089,-15.137,-35.645,-46.387,-23.926,0.000
1595685541.093,1.953,-34.180,-47.852,-16.602,0.000
1595685541.096,10.742,-29.785,-50.293,-23.438,0.000
1595685541.100,6.836,-27.832,-49.316,-36.133,0.000
1595685541.104,-4.395,-32.227,-51.270,-32.715,0.000
1595685541.108,-4.395,-33.203,-55.176,-20.020,0.000
1595685541.112,16.113,-28.809,-46.875,-11.230,0.000
1595685541.116,17.090,-30.762,-42.969,-27.832,0.000
1595685541.120,-0.488,-33.203,-45.898,-48.828,0.000
1595685541.124,-15.625,-40.039,-46.387,-56.641,0.000
1595685541.128,-1.953,-41.016,-52.246,-48.340,0.000
1595685541.132,10.254,-34.668,-51.758,-30.273,0.000
1595685541.136,1.953,-34.180,-45.410,-30.273,0.000
1595685541.139,-8.301,-29.785,-41.504,-46.387,0.000
1595685541.143,-15.137,-30.273,-41.504,-53.223,0.000
1595685541.147,-10.254,-35.645,-45.898,-40.039,0.000
1595685541.151,-7.324,-36.133,-49.805,-29.785,0.000
1595685541.155,-15.625,-37.598,-54.688,-29.785,0.000
1595685541.159,-23.926,-41.504,-59.082,-45.898,0.000
1595685541.163,-31.738,-36.621,-59.570,-51.270,0.000
1595685541.167,-30.762,-34.668,-59.082,-32.227,0.000
1595685541.171,-15.625,-41.016,-60.547,-19.043,0.000
1595685541.175,-4.883,-39.062,-58.594,-25.879,0.000
1595685541.178,-15.625,-36.133,-56.152,-41.992,0.000
1595685541.182,-31.250,-36.133,-54.199,-47.852,0.000
1595685541.186,-20.996,-36.133,-50.293,-40.527,0.000
1595685541.190,-2.930,-32.715,-47.363,-15.625,0.000
1595685541.194,5.859,-25.879,-41.992,1.953,0.000
1595685541.198,9.766,-23.926,-39.551,-7.324,0.000
1595685541.202,1.465,-26.367,-42.480,-19.043,0.000
1595685541.206,3.418,-25.879,-38.086,-15.625,0.000
1595685541.210,13.184,-26.367,-40.527,-8.789,0.000
1595685541.214,8.789,-31.738,-46.387,-10.742,0.000
1595685541.218,4.395,-35.645,-40.527,-22.949,0.000
1595685541.221,-17.090,-36.621,-41.016,-35.645,0.000
1595685541.225,-35.156,-40.039,-52.246,-43.945,0.000
1595685541.229,-14.160,-34.668,-59.082,-31.738,0.000
1595685541.233,4.883,-27.832,-50.781,-19.043,0.000
1595685541.237,-0.488,-27.832,-41.504,-27.344,0.000
1595685541.241,-7.324,-28.320,-44.434,-36.133,0.000
1595685541.245,-9.766,-29.785,-42.969,-30.273,0.000
1595685541.249,-11.230,-32.227,-48.340,-14.160,0.000
1595685541.253,-10.742,-35.645,-55.176,-9.277,0.000
1595685541.257,-10.742,-39.551,-52.734,-20.996,0.000
1595685541.261,-20.508,-37.598,-48.828,-30.273,0.000
1595685541.264,-26.367,-34.668,-42.480,-37.598,0.000
1595685541.268,-14.160,-33.691,-40.527,-18.555,0.000
1595685541.272,3.418,-30.762,-39.551,0.000,0.000
1595685541.276,2.930,-33.691,-38.574,-16.602,0.000
1595685541.280,-9.766,-34.668,-43.945,-41.504,0.000
1595685541.284,-19.531,-33.691,-48.828,-44.434,0.000
1595685541.288,-19.531,-32.715,-46.387,-21.973,0.000
1595685541.292,-1.953,-30.762,-44.922,-6.836,0.000
1595685541.296,-7.324,-40.039,-48.828,-12.695,0.000
1595685541.300,-35.645,-46.875,-46.875,-29.297,0.000
1595685541.303,-48.828,-46.875,-48.828,-43.945,0.000
1595685541.307,-35.645,-48.340,-50.781,-35.645,0.000
1595685541.311,-10.254,-40.527,-47.363,-19.043,0.000
1595685541.315,2.930,-32.715,-41.992,-17.090,0.000
1595685541.319,-10.742,-34.180,-45.410,-28.320,0.000
1595685541.323,-26.855,-39.551,-46.387,-36.621,0.000
1595685541.327,-38.086,-43.945,-42.480,-29.297,0.000
1595685541.331,-23.438,-41.504,-37.109,-19.531,0.000
1595685541.335,-6.836,-32.715,-32.715,-17.578,0.000
1595685541.339,-13.672,-32.715,-34.180,-25.879,0.000
1595685541.343,-20.508,-36.621,-34.668,-31.250,0.000
1595685541.346,-17.578,-34.668,-36.621,-22.461,0.000
1595685541.350,0.488,-36.133,-35.645,1.953,0.000
1595685541.354,9.277,-37.109,-34.180,4.395,0.000
1595685541.358,0.488,-34.668,-36.133,-22.949,0.000
1595685541.362,-14.160,-36.133,-38.086,-38.086,0.000
1595685541.366,-12.207,-37.598,-38.574,-19.531,0.000
1595685541.370,1.953,-39.062,-39.551,-4.395,0.000
1595685541.374,3.418,-42.480,-36.621,-16.602,0.000
1595685541.378,3.418,-41.016,-35.645,-12.695,0.000
1595685541.382,-13.184,-42.969,-41.504,-24.902,0.000
1595685541.386,-34.668,-53.223,-45.898,-36.133,0.000
1595685541.389,-17.090,-53.223,-45.410,-19.043,0.000
1595685541.393,0.000,-40.527,-42.480,-9.766,0.000
1595685541.397,0.000,-35.156,-37.598,-17.090,0.000
1595685541.401,-10.742,-38.086,-35.645,-30.762,0.000
1595685541.405,-6.348,-38.574,-34.180,-23.926,0.000
1595685541.409,4.883,-36.133,-33.691,-8.789,0.000
1595685541.413,11.719,-39.551,-40.039,-5.859,0.000
1595685541.417,3.418,-42.969,-44.922,-14.160,0.000
1595685541.421,-12.207,-42.969,-39.551,-30.762,0.000
1595685541.425,-13.672,-41.992,-35.156,-26.367,0.000
1595685541.428,-1.465,-40.039,-35.645,-9.277,0.000
1595685541.432,13.184,-38.574,-34.180,-10.742,0.000
1595685541.436,13.184,-38.086,-34.180,-19.043,0.000
1595685541.440,-5.859,-36.133,-33.691,-28.809,0.000
1595685541.444,-24.902,-36.621,-34.180,-33.691,0.000
1595685541.448,-10.254,-32.715,-34.180,-15.137,0.000
1595685541.452,-1.465,-34.180,-37.109,-10.254,0.000
1595685541.456,-11.719,-41.992,-42.480,-26.855,0.000
1595685541.460,-20.996,-38.574,-42.969,-46.875,0.000
1595685541.464,-26.855,-30.762,-41.016,-45.410,0.000
1595685541.468,-15.625,-32.227,-42.969,-32.227,0.000
1595685541.471,-5.859,-38.086,-46.387,-29.297,0.000
1595685541.475,-6.836,-46.387,-44.922,-36.133,0.000
1595685541.479,-6.348,-42.969,-43.457,-40.527,0.000
1595685541.483,-16.113,-37.109,-41.504,-38.086,0.000
1595685541.487,-23.438,-35.156,-36.133,-35.156,0.000
1595685541.491,-16.113,-29.785,-32.227,-31.738,0.000
1595685541.495,-8.301,-30.762,-31.250,-29.785,0.000
1595685541.499,-13.184,-31.738,-28.320,-38.574,0.000
1595685541.503,-28.320,-35.156,-31.250,-50.293,0.000
1595685541.507,-24.414,-37.109,-32.227,-36.621,0.000
1595685541.511,-5.371,-31.738,-27.832,-14.648,0.000
1595685541.514,0.977,-25.879,-23.926,-13.184,0.000
1595685541.518,-9.277,-25.391,-29.297,-32.715,0.000
1595685541.522,-22.949,-23.926,-33.691,-41.504,0.000
1595685541.526,-14.160,-24.902,-30.762,-29.785,0.000
1595685541.530,0.488,-26.855,-27.832,-26.855,0.000
1595685541.534,-2.930,-25.879,-27.344,-20.020,0.000
1595685541.538,-10.742,-26.367,-25.391,-20.996,0.000
1595685541.542,-26.855,-30.762,-20.508,-32.715,0.000
1595685541.546,-31.250,-31.738,-20.996,-43.457,0.000
1595685541.550,-18.066,-32.715,-21.484,-33.203,0.000
1595685541.553,-9.277,-35.156,-25.391,-24.902,0.000
1595685541.557,-16.113,-38.086,-37.109,-49.805,0.000
1595685541.561,-39.551,-44.434,-39.062,-65.430,0.000
1595685541.565,-36.133,-44.434,-32.715,-51.758,0.000
1595685541.569,-13.184,-46.387,-34.180,-30.762,0.000
1595685541.573,1.465,-41.992,-33.203,-18.066,0.000
1595685541.577,-1.465,-35.645,-28.809,-11.719,0.000
1595685541.581,-20.020,-36.133,-25.879,-20.508,0.000
1595685541.585,-24.902,-30.273,-24.414,-36.621,0.000
1595685541.589,-12.695,-34.180,-25.879,-20.508,0.000
1595685541.593,-7.324,-43.457,-29.785,-4.395,0.000
1595685541.596,-10.742,-44.434,-27.344,-17.578,0.000
1595685541.600,-16.602,-40.039,-24.414,-33.691,0.000
1595685541.604,-24.414,-43.945,-31.250,-38.574,0.000
1595685541.608,-8.789,-43.457,-29.297,-24.414,0.000
1595685541.612,8.301,-40.039,-29.297,-12.207,0.000
1595685541.616,3.418,-41.992,-36.133,-19.531,0.000
1595685541.620,-11.230,-38.574,-35.645,-38.574,0.000
1595685541.624,-31.250,-39.062,-35.156,-41.992,0.000
1595685541.628,-26.367,-38.574,-32.227,-20.996,0.000
1595685541.632,2.930,-35.645,-24.902,-0.977,0.000
1595685541.636,11.719,-41.992,-31.250,-7.812,0.000
1595685541.639,-6.348,-44.922,-41.016,-31.250,0.000
1595685541.643,-23.438,-40.039,-40.527,-43.457,0.000
1595685541.647,-24.902,-43.457,-36.621,-35.156,0.000
1595685541.651,-5.371,-45.898,-37.598,-15.137,0.000
1595685541.655,2.930,-42.969,-41.992,-18.555,0.000
1595685541.659,-15.137,-46.387,-42.480,-36.133,0.000
1595685541.663,-24.902,-51.758,-43.945,-38.574,0.000
1595685541.667,-9.766,-48.340,-42.969,-26.367,0.000
1595685541.671,1.465,-46.875,-40.039,-6.836,0.000
1595685541.675,-2.930,-50.293,-42.480,-1.465,0.000
1595685541.678,-18.555,-51.758,-45.410,-25.879,0.000
1595685541.682,-31.738,-49.805,-46.387,-33.203,0.000
1595685541.686,-25.879,-45.898,-43.457,-26.855,0.000
1595685541.690,-5.371,-40.527,-41.016,-25.391,0.000
1595685541.694,-1.953,-39.551,-44.434,-27.344,0.000
1595685541.698,-3.418,-43.945,-37.598,-31.738,0.000
1595685541.702,-12.207,-43.457,-35.156,-47.852,0.000
1595685541.706,-16.113,-38.086,-41.016,-45.410,0.000
1595685541.710,5.371,-36.621,-42.480,-25.879,0.000
1595685541.714,14.160,-33.691,-43.945,-23.926,0.000
1595685541.718,1.465,-29.785,-43.945,-28.320,0.000
1595685541.721,-10.742,-33.691,-42.480,-35.645,0.000
1595685541.725,-13.672,-37.109,-42.480,-28.809,0.000
1595685541.729,-3.906,-38.086,-40.527,-2.441,0.000
1595685541.733,9.277,-34.668,-35.156,0.000,0.000
1595685541.737,6.836,-28.809,-32.715,-20.508,0.000
1595685541.741,-5.859,-27.344,-30.762,-29.785,0.000
1595685541.745,-9.277,-33.203,-32.227,-16.602,0.000
1595685541.749,-0.488,-33.691,-35.645,-13.672,0.000
1595685541.753,13.184,-27.832,-35.645,-22.461,0.000
1595685541.757,9.277,-25.391,-34.668,-23.438,0.000
1595685541.761,-3.906,-23.926,-31.250,-41.016,0.000
1595685541.764,-7.324,-20.996,-35.156,-45.898,0.000
1595685541.768,4.395,-21.484,-34.180,-32.715,0.000
1595685541.772,13.184,-27.344,-30.273,-20.020,0.000
1595685541.776,-3.906,-27.832,-37.109,-19.043,0.000
1595685541.780,-15.625,-23.438,-38.574,-39.551,0.000
1595685541.784,-9.277,-19.531,-33.203,-43.457,0.000
1595685541.788,-9.277,-21.973,-36.133,-33.691,0.000
1595685541.792,-4.883,-21.973,-33.203,-19.043,0.000
1595685541.796,-6.836,-20.508,-34.668,-19.043,0.000
1595685541.800,-26.367,-26.855,-41.504,-50.781,0.000
1595685541.803,-41.992,-27.832,-37.598,-60.059,0.000
1595685541.807,-34.668,-25.391,-33.203,-44.434,0.000
1595685541.811,-26.367,-26.855,-31.250,-31.738,0.000
1595685541.815,-32.227,-30.762,-34.668,-38.574,0.000
1595685541.819,-32.715,-32.227,-34.180,-57.617,0.000
1595685541.823,-36.133,-27.344,-34.180,-59.082,0.000
1595685541.827,-46.875,-31.738,-36.621,-60.547,0.000
1595685541.831,-33.203,-35.645,-31.250,-47.852,0.000
1595685541.835,-16.113,-26.367,-23.926,-34.180,0.000
1595685541.839,-19.043,-21.484,-27.344,-44.922,0.000
1595685541.843,-13.184,-18.555,-26.367,-52.734,0.000
1595685541.846,-5.371,-17.578,-20.508,-34.180,0.000
1595685541.850,-2.930,-21.973,-21.484,-13.184,0.000
1595685541.854,5.859,-23.438,-21.484,-11.719,0.000
1595685541.858,6.348,-22.949,-21.484,-21.973,0.000
1595685541.862,-12.695,-22.461,-22.461,-26.855,0.000
1595685541.866,-10.742,-22.949,-24.414,-21.973,0.000
1595685541.870,5.859,-27.344,-31.738,-16.113,0.000
1595685541.874,-1.953,-27.832,-31.738,-16.602,0.000
1595685541.878,-11.719,-29.297,-33.203,-30.273,0.000
1595685541.882,-20.508,-35.156,-35.156,-41.504,0.000
1595685541.886,-24.902,-37.598,-29.785,-31.738,0.000
1595685541.889,-17.090,-35.645,-29.785,-18.555,0.000
1595685541.893,-9.277,-37.598,-31.738,-19.531,0.000
