timestamps,TP9,AF7,AF8,TP10,Right AUX
1595686201.803,-17.090,-21.973,-25.879,16.602,0.000
1595686201.807,-21.484,-24.902,-27.344,17.578,0.000
1595686201.811,-21.973,-24.902,-28.320,3.906,0.000
1595686201.815,-21.484,-21.973,-31.738,-3.906,0.000
1595686201.819,-28.320,-23.926,-32.227,-8.301,0.000
1595686201.823,-32.227,-25.391,-29.297,-13.184,0.000
1595686201.827,-30.762,-19.043,-27.832,-10.254,0.000
1595686201.831,-22.461,-17.578,-29.297,-0.977,0.000
1595686201.835,-15.137,-20.996,-35.156,-0.977,0.000
1595686201.839,-13.672,-16.602,-37.109,-1.953,0.000
1595686201.843,-20.020,-13.672,-35.645,4.395,0.000
1595686201.846,-26.367,-13.184,-36.133,0.488,0.000
1595686201.850,-18.555,-10.742,-32.715,5.859,0.000
1595686201.854,-15.137,-15.625,-34.180,6.836,0.000
1595686201.858,-23.438,-15.137,-35.156,-2.441,0.000
1595686201.862,-26.855,-12.207,-31.250,6.348,0.000
1595686201.866,-26.855,-12.695,-33.203,9.766,0.000
1595686201.870,-26.367,-17.578,-37.109,0.000,0.000
1595686201.874,-20.996,-22.949,-39.062,-6.348,0.000
1595686201.878,-24.414,-21.973,-34.668,-9.766,0.000
1595686201.882,-24.414,-17.090,-34.180,-16.113,0.000
1595686201.885,-26.367,-14.648,-36.133,-23.926,0.000
1595686201.889,-25.879,-18.066,-36.133,-18.555,0.000
1595686201.893,-15.137,-18.555,-40.039,-8.301,0.000
1595686201.897,-14.160,-16.602,-37.109,-13.672,0.000
1595686201.901,-21.484,-22.461,-31.250,-10.742,0.000
1595686201.905,-22.949,-22.949,-32.715,3.418,0.000
1595686201.909,-19.531,-16.602,-28.809,9.766,0.000
1595686201.913,-19.043,-16.113,-22.461,15.137,0.000
1595686201.917,-10.742,-23.926,-25.879,18.555,0.000
1595686201.921,-6.348,-23.438,-27.832,22.461,0.000
1595686201.925,-8.301,-16.113,-25.879,28.320,0.000
1595686201.928,-6.348,-19.531,-20.996,36.133,0.000
1595686201.932,-10.742,-28.809,-19.043,36.133,0.000
1595686201.936,-10.742,-30.762,-23.926,30.273,0.000
